year, TAS, NET, LWcs, LWcre, SWcs, SWcre,
1850.00, 286.780, 0.414315, -264.783, 23.6918, 286.240, -44.7339,
1851.00, 286.817, 0.540096, -264.703, 23.8453, 286.036, -44.6378,
1852.00, 286.824, -0.268139, -264.876, 23.6478, 286.084, -45.1240,
1853.00, 286.806, 0.149818, -264.831, 23.7594, 286.136, -44.9140,
1854.00, 286.812, 0.702512, -264.773, 23.7515, 286.191, -44.4668,
1855.00, 286.733, -0.114859, -264.757, 23.5233, 285.998, -44.8788,
1856.00, 286.696, 0.413695, -264.574, 23.8650, 285.915, -44.7922,
1857.00, 286.974, 0.167948, -265.201, 23.7396, 286.230, -44.6007,
1858.00, 286.833, 0.250825, -264.793, 23.6594, 286.134, -44.7501,
1859.00, 286.847, 0.147943, -265.024, 23.6676, 286.038, -44.5339,
1860.00, 286.770, 0.211353, -264.852, 23.5932, 286.032, -44.5622,
1861.00, 286.769, 0.184746, -264.755, 23.6439, 285.974, -44.6777,
1862.00, 286.711, -0.0515045, -264.691, 23.5500, 285.882, -44.7926,
1863.00, 286.744, 0.805398, -264.601, 23.7455, 286.099, -44.4386,
1864.00, 286.919, -0.0158225, -265.065, 23.6489, 286.196, -44.7965,
1865.00, 286.795, 0.166928, -264.842, 23.7039, 286.152, -44.8467,
1866.00, 286.889, 0.309466, -264.921, 23.6925, 286.099, -44.5609,
1867.00, 286.794, 0.141485, -264.789, 23.6329, 285.904, -44.6072,
1868.00, 286.865, 0.435126, -264.933, 23.7495, 286.202, -44.5835,
1869.00, 286.871, 0.0250774, -264.977, 23.6726, 286.241, -44.9115,
1870.00, 286.851, 0.449953, -264.949, 23.7770, 286.195, -44.5736,
1871.00, 286.852, -0.0199615, -264.807, 23.7079, 285.890, -44.8115,
1872.00, 286.876, 0.0534882, -265.035, 23.5615, 285.965, -44.4381,
1873.00, 286.783, -0.257089, -264.865, 23.7153, 286.096, -45.2026,
1874.00, 286.689, 0.410715, -264.546, 23.7057, 286.063, -44.8114,
1875.00, 286.671, 0.218767, -264.543, 23.7242, 285.974, -44.9367,
1876.00, 286.946, -0.121431, -265.276, 23.5781, 286.176, -44.5994,
1877.00, 286.767, 0.214307, -264.681, 23.7672, 286.136, -45.0071,
1878.00, 286.683, 0.310053, -264.565, 23.7302, 285.798, -44.6529,
1879.00, 286.815, 0.401801, -264.878, 23.6517, 286.094, -44.4666,
1880.00, 286.948, 0.169496, -265.217, 23.6319, 286.065, -44.3099,
1881.00, 286.702, -0.0170162, -264.689, 23.6138, 285.845, -44.7867,
1882.00, 286.790, 0.487536, -264.725, 23.8318, 286.005, -44.6236,
1883.00, 286.810, -0.176826, -264.985, 23.6224, 286.069, -44.8836,
1884.00, 286.771, 0.408787, -264.736, 23.7547, 286.152, -44.7623,
1885.00, 286.848, 0.327482, -264.816, 23.7166, 286.233, -44.8058,
1886.00, 286.860, -0.296853, -265.050, 23.5946, 286.231, -45.0722,
1887.00, 286.804, 0.791648, -264.661, 23.8533, 286.172, -44.5731,
1888.00, 286.902, 0.160665, -265.042, 23.6641, 286.068, -44.5302,
1889.00, 286.769, 0.485114, -264.748, 23.7276, 286.030, -44.5245,
1890.00, 286.906, 0.554515, -264.909, 23.7574, 286.190, -44.4844,
1891.00, 286.994, 0.138045, -265.174, 23.5473, 286.185, -44.4208,
1892.00, 286.911, 0.136201, -265.074, 23.6638, 286.186, -44.6395,
1893.00, 286.818, 0.0272032, -264.945, 23.5804, 286.222, -44.8308,
1894.00, 286.842, 0.155295, -264.891, 23.6759, 286.115, -44.7446,
1895.00, 286.855, -0.0226456, -264.972, 23.6387, 286.080, -44.7701,
1896.00, 286.716, 0.138498, -264.586, 23.5654, 285.986, -44.8269,
1897.00, 286.614, 0.497043, -264.357, 23.7830, 286.074, -45.0025,
1898.00, 286.687, 0.765350, -264.470, 23.8266, 285.961, -44.5522,
1899.00, 286.871, 0.136502, -265.104, 23.5999, 286.090, -44.4487,
1900.00, 286.885, 0.225110, -264.925, 23.6819, 286.016, -44.5475,
1901.00, 286.920, 0.104742, -265.082, 23.5292, 286.040, -44.3833,
1902.00, 286.935, -0.126575, -265.108, 23.6108, 286.010, -44.6389,
1903.00, 286.921, 0.236867, -264.964, 23.6904, 286.126, -44.6163,
1904.00, 286.915, 0.0610132, -265.088, 23.5833, 286.065, -44.4995,
1905.00, 286.879, -0.419288, -265.216, 23.5622, 286.177, -44.9419,
1906.00, 286.783, 0.113347, -264.888, 23.5970, 286.165, -44.7603,
1907.00, 286.705, 0.301697, -264.622, 23.6714, 286.057, -44.8048,
1908.00, 286.789, 0.261917, -264.834, 23.7083, 286.145, -44.7578,
1909.00, 286.755, 0.380448, -264.802, 23.7572, 286.331, -44.9055,
1910.00, 286.774, 0.234307, -264.873, 23.5786, 286.117, -44.5880,
1911.00, 286.814, 0.643920, -264.725, 23.8000, 286.205, -44.6354,
1912.00, 287.053, 0.296227, -265.275, 23.7869, 286.418, -44.6332,
1913.00, 286.856, -0.00657069, -265.015, 23.7826, 286.095, -44.8689,
1914.00, 286.870, 0.266474, -264.906, 23.6984, 286.095, -44.6204,
1915.00, 286.803, 0.152182, -264.938, 23.6408, 285.952, -44.5024,
1916.00, 286.884, 0.339137, -265.029, 23.6521, 286.205, -44.4893,
1917.00, 287.005, 0.264080, -265.154, 23.6556, 286.194, -44.4312,
1918.00, 286.907, -0.0467428, -265.163, 23.5532, 286.399, -44.8358,
1919.00, 286.949, 0.359561, -265.034, 23.6538, 286.318, -44.5779,
1920.00, 286.893, 0.0259141, -264.998, 23.7050, 286.095, -44.7756,
1921.00, 286.885, 0.427105, -264.974, 23.7084, 286.232, -44.5392,
1922.00, 286.934, 0.396693, -265.052, 23.8241, 286.443, -44.8180,
1923.00, 286.877, 0.388416, -264.906, 23.6837, 286.287, -44.6761,
1924.00, 286.941, 0.287774, -265.057, 23.7973, 286.318, -44.7703,
1925.00, 286.861, 0.0770297, -264.974, 23.6403, 286.031, -44.6206,
1926.00, 286.788, 0.325104, -264.864, 23.5560, 286.178, -44.5451,
1927.00, 286.885, 0.546633, -264.864, 23.7375, 286.339, -44.6662,
1928.00, 286.935, 0.120843, -265.141, 23.5999, 286.313, -44.6508,
1929.00, 286.937, 0.00524453, -265.090, 23.5909, 286.117, -44.6126,
1930.00, 286.770, 0.284886, -264.852, 23.6378, 286.339, -44.8396,
1931.00, 286.674, 0.240798, -264.580, 23.7477, 286.072, -44.9987,
1932.00, 286.823, 0.583837, -264.833, 23.7626, 286.079, -44.4254,
1933.00, 286.878, 0.107718, -265.087, 23.5794, 286.036, -44.4207,
1934.00, 286.899, 0.145740, -265.061, 23.5737, 286.091, -44.4581,
1935.00, 286.962, 0.433045, -265.081, 23.6593, 286.155, -44.3000,
1936.00, 286.997, -0.306743, -265.342, 23.3957, 286.093, -44.4535,
1937.00, 286.889, -0.121035, -265.057, 23.5789, 285.977, -44.6192,
1938.00, 286.902, 0.128419, -264.967, 23.4721, 286.006, -44.3826,
1939.00, 286.959, 0.0127736, -265.108, 23.5992, 285.979, -44.4574,
1940.00, 286.915, -0.0176946, -265.005, 23.6310, 286.098, -44.7420,
1941.00, 286.786, 0.102749, -264.913, 23.4615, 286.058, -44.5042,
1942.00, 286.758, -0.0541675, -264.727, 23.6812, 285.907, -44.9150,
1943.00, 286.836, 0.287328, -264.831, 23.7372, 286.191, -44.8099,
1944.00, 286.849, 0.165156, -264.975, 23.5977, 286.036, -44.4931,
1945.00, 286.879, -0.108080, -264.952, 23.5569, 286.071, -44.7841,
1946.00, 286.795, 0.280762, -264.714, 23.6775, 286.040, -44.7225,
1947.00, 286.744, 0.494512, -264.662, 23.7224, 286.182, -44.7486,
1948.00, 286.845, 0.576083, -264.933, 23.7336, 286.143, -44.3672,
1949.00, 286.922, 0.384639, -265.073, 23.7912, 286.180, -44.5138,
1950.00, 286.893, -0.0449757, -264.982, 23.5842, 285.916, -44.5630,
1951.00, 286.922, 0.427909, -265.030, 23.7055, 286.191, -44.4389,
1952.00, 287.164, 0.255848, -265.456, 23.8240, 286.565, -44.6776,
1953.00, 287.043, -0.0558536, -265.391, 23.5645, 286.367, -44.5972,
1954.00, 286.949, -0.237204, -265.183, 23.5395, 286.087, -44.6808,
1955.00, 286.817, 0.0521096, -264.831, 23.6129, 286.033, -44.7630,
1956.00, 286.808, 0.598026, -264.727, 23.6659, 286.155, -44.4961,
1957.00, 286.842, 0.636129, -264.901, 23.5861, 286.181, -44.2306,
1958.00, 287.039, 0.0417248, -265.399, 23.5118, 286.396, -44.4670,
1959.00, 287.000, -0.135799, -265.261, 23.5107, 286.273, -44.6582,
1960.00, 286.827, 0.616427, -264.898, 23.7280, 286.292, -44.5056,
1961.00, 286.960, 0.543242, -265.075, 23.7074, 286.410, -44.5001,
1962.00, 286.936, -0.243393, -265.231, 23.6115, 286.219, -44.8432,
1963.00, 286.896, 0.213610, -264.881, 23.7551, 286.289, -44.9498,
1964.00, 286.868, 0.397337, -264.929, 23.7677, 286.072, -44.5135,
1965.00, 286.889, 0.567059, -264.945, 23.7720, 286.116, -44.3758,
1966.00, 286.979, 0.399627, -265.175, 23.6907, 286.534, -44.6494,
1967.00, 286.937, 0.446958, -265.103, 23.7171, 286.353, -44.5209,
1968.00, 286.988, 0.308010, -265.257, 23.6903, 286.373, -44.4977,
1969.00, 287.029, -0.0110654, -265.359, 23.5508, 286.223, -44.4257,
1970.00, 287.003, 0.0288058, -265.209, 23.4684, 286.248, -44.4785,
1971.00, 286.999, 0.0999062, -265.131, 23.5610, 286.208, -44.5382,
1972.00, 286.924, -0.0887638, -265.127, 23.5731, 286.248, -44.7822,
1973.00, 286.856, 0.165605, -264.995, 23.6350, 286.230, -44.7048,
1974.00, 286.739, 0.295649, -264.608, 23.6215, 285.710, -44.4284,
1975.00, 286.738, 0.0512352, -264.784, 23.5840, 286.177, -44.9252,
1976.00, 286.667, 0.231742, -264.611, 23.5231, 285.946, -44.6260,
1977.00, 286.768, 0.471553, -264.637, 23.7572, 285.923, -44.5709,
1978.00, 286.753, 0.213541, -264.876, 23.6025, 285.895, -44.4078,
1979.00, 286.788, 0.375996, -264.870, 23.5834, 286.029, -44.3668,
1980.00, 286.937, -0.148858, -265.212, 23.6591, 286.237, -44.8333,
1981.00, 286.835, 0.149019, -264.934, 23.5851, 286.003, -44.5058,
1982.00, 286.800, 0.193952, -264.909, 23.5915, 286.091, -44.5805,
1983.00, 286.800, 0.116167, -264.830, 23.6813, 285.842, -44.5774,
1984.00, 286.824, -0.0186318, -264.897, 23.5828, 285.948, -44.6526,
1985.00, 286.799, 0.520215, -264.756, 23.8021, 286.185, -44.7110,
1986.00, 286.831, 0.707926, -264.887, 23.7803, 286.159, -44.3445,
1987.00, 286.991, 0.129373, -265.165, 23.6308, 286.147, -44.4833,
1988.00, 286.957, -0.171149, -265.217, 23.5622, 286.144, -44.6599,
1989.00, 286.878, 0.423247, -264.934, 23.6724, 286.223, -44.5383,
1990.00, 286.882, 0.318001, -265.055, 23.6454, 286.162, -44.4345,
1991.00, 286.887, 0.107220, -265.021, 23.6746, 286.029, -44.5754,
1992.00, 286.767, 0.0332306, -264.873, 23.5649, 285.906, -44.5640,
1993.00, 286.901, 0.247800, -265.006, 23.7271, 286.147, -44.6197,
1994.00, 286.944, -0.111325, -265.224, 23.5933, 286.108, -44.5891,
1995.00, 286.858, 0.128279, -265.007, 23.7557, 286.192, -44.8125,
1996.00, 286.812, 0.318297, -264.811, 23.6386, 286.265, -44.7740,
1997.00, 286.923, 0.437443, -265.072, 23.6305, 286.300, -44.4208,
1998.00, 286.955, -0.201007, -265.188, 23.7232, 286.176, -44.9127,
1999.00, 286.909, 0.229021, -264.989, 23.7176, 286.160, -44.6589,
